vacina,agegroup,data,doses,n
AZ,1,2021-01-27,D1,5
AZ,1,2021-01-27,D2,0
AZ,1,2021-01-27,DU,0
AZ,1,2021-01-27,R,0
AZ,1,2021-01-30,D1,6
AZ,1,2021-01-30,D2,0
AZ,1,2021-01-30,DU,0
AZ,1,2021-01-30,R,0
AZ,1,2021-02-01,D1,4
AZ,1,2021-02-01,D2,0
AZ,1,2021-02-01,DU,0
AZ,1,2021-02-01,R,0
AZ,1,2021-02-02,D1,7
AZ,1,2021-02-02,D2,0
AZ,1,2021-02-02,DU,0
AZ,1,2021-02-02,R,0
AZ,1,2021-02-03,D1,2
AZ,1,2021-02-03,D2,0
AZ,1,2021-02-03,DU,0
AZ,1,2021-02-03,R,0
AZ,1,2021-02-04,D1,1
AZ,1,2021-02-04,D2,0
AZ,1,2021-02-04,DU,0
AZ,1,2021-02-04,R,0
AZ,1,2021-02-05,D1,2
AZ,1,2021-02-05,D2,0
AZ,1,2021-02-05,DU,0
AZ,1,2021-02-05,R,0
AZ,1,2021-02-08,D1,6
AZ,1,2021-02-08,D2,0
AZ,1,2021-02-08,DU,0
AZ,1,2021-02-08,R,0
AZ,1,2021-02-09,D1,3
AZ,1,2021-02-09,D2,0
AZ,1,2021-02-09,DU,0
AZ,1,2021-02-09,R,0
AZ,1,2021-02-17,D1,1
AZ,1,2021-02-17,D2,0
AZ,1,2021-02-17,DU,0
AZ,1,2021-02-17,R,0
AZ,1,2021-02-20,D1,4
AZ,1,2021-02-20,D2,0
AZ,1,2021-02-20,DU,0
AZ,1,2021-02-20,R,0
AZ,1,2021-02-22,D1,1
AZ,1,2021-02-22,D2,0
AZ,1,2021-02-22,DU,0
AZ,1,2021-02-22,R,0
AZ,1,2021-02-23,D1,1
AZ,1,2021-02-23,D2,0
AZ,1,2021-02-23,DU,0
AZ,1,2021-02-23,R,0
AZ,1,2021-02-26,D1,1
AZ,1,2021-02-26,D2,0
AZ,1,2021-02-26,DU,0
AZ,1,2021-02-26,R,0
AZ,1,2021-03-01,D1,2
AZ,1,2021-03-01,D2,0
AZ,1,2021-03-01,DU,0
AZ,1,2021-03-01,R,0
AZ,1,2021-03-02,D1,3
AZ,1,2021-03-02,D2,0
AZ,1,2021-03-02,DU,0
AZ,1,2021-03-02,R,0
AZ,1,2021-03-03,D1,3
AZ,1,2021-03-03,D2,0
AZ,1,2021-03-03,DU,0
AZ,1,2021-03-03,R,0
AZ,1,2021-03-04,D1,3
AZ,1,2021-03-04,D2,0
AZ,1,2021-03-04,DU,0
AZ,1,2021-03-04,R,0
AZ,1,2021-03-05,D1,1
AZ,1,2021-03-05,D2,0
