vacina,agegroup,data,doses,n
AZ,1,2021-01-21,D1,1
AZ,1,2021-01-21,D2,0
AZ,1,2021-01-21,DU,0
AZ,1,2021-01-21,R,0
AZ,1,2021-01-22,D1,1
AZ,1,2021-01-22,D2,0
AZ,1,2021-01-22,DU,0
AZ,1,2021-01-22,R,0
AZ,1,2021-01-26,D1,2
AZ,1,2021-01-26,D2,0
AZ,1,2021-01-26,DU,0
AZ,1,2021-01-26,R,0
AZ,1,2021-01-27,D1,3
AZ,1,2021-01-27,D2,0
AZ,1,2021-01-27,DU,0
AZ,1,2021-01-27,R,0
AZ,1,2021-01-28,D1,2
AZ,1,2021-01-28,D2,0
AZ,1,2021-01-28,DU,0
AZ,1,2021-01-28,R,0
AZ,1,2021-01-29,D1,3
AZ,1,2021-01-29,D2,0
AZ,1,2021-01-29,DU,0
AZ,1,2021-01-29,R,0
AZ,1,2021-02-01,D1,5
AZ,1,2021-02-01,D2,0
AZ,1,2021-02-01,DU,0
AZ,1,2021-02-01,R,0
AZ,1,2021-02-02,D1,1
AZ,1,2021-02-02,D2,0
AZ,1,2021-02-02,DU,0
AZ,1,2021-02-02,R,0
AZ,1,2021-02-03,D1,4
AZ,1,2021-02-03,D2,0
AZ,1,2021-02-03,DU,0
AZ,1,2021-02-03,R,0
AZ,1,2021-02-04,D1,7
AZ,1,2021-02-04,D2,0
AZ,1,2021-02-04,DU,0
AZ,1,2021-02-04,R,0
AZ,1,2021-02-05,D1,5
AZ,1,2021-02-05,D2,0
AZ,1,2021-02-05,DU,0
AZ,1,2021-02-05,R,0
AZ,1,2021-02-07,D1,1
AZ,1,2021-02-07,D2,0
AZ,1,2021-02-07,DU,0
AZ,1,2021-02-07,R,0
AZ,1,2021-02-08,D1,10
AZ,1,2021-02-08,D2,0
AZ,1,2021-02-08,DU,0
AZ,1,2021-02-08,R,0
AZ,1,2021-02-09,D1,8
AZ,1,2021-02-09,D2,0
AZ,1,2021-02-09,DU,0
AZ,1,2021-02-09,R,0
AZ,1,2021-02-10,D1,6
AZ,1,2021-02-10,D2,0
AZ,1,2021-02-10,DU,0
AZ,1,2021-02-10,R,0
AZ,1,2021-02-11,D1,4
AZ,1,2021-02-11,D2,0
AZ,1,2021-02-11,DU,0
AZ,1,2021-02-11,R,0
AZ,1,2021-02-12,D1,8
AZ,1,2021-02-12,D2,0
AZ,1,2021-02-12,DU,0
AZ,1,2021-02-12,R,0
AZ,1,2021-02-13,D1,1
AZ,1,2021-02-13,D2,0
AZ,1,2021-02-13,DU,0
AZ,1,2021-02-13,R,0
AZ,1,2021-02-14,D1,7
AZ,1,2021-02-14,D2,0
AZ,1,2021-02-14,DU,0
AZ,1,2021-02-14,R,0
AZ,1,2021-02-15,D1,2
AZ,1,2021-02-15,D2,0
AZ,1,2021-02-15,DU,0
AZ,1,2021-02-15,R,0
AZ,1,2021-02-16,D1,2
AZ,1,2021-02-16,D2,0
AZ,1,2021-02-16,DU,0
AZ,1,2021-02-16,R,0
AZ,1,2021-02-17,D1,5
AZ,1,2021-02-17,D2,0
AZ,1,2021-02-17,DU,0
AZ,1,2021-02-17,R,0
AZ,1,2021-02-18,D1,1
AZ,1,2021-02-18,D2,0
AZ,1,2021-02-18,DU,0
AZ,1,2021-02-18,R,0
AZ,1,2021-02-19,D1,1
AZ,1,2021-02-19,D2,0
AZ,1,2021-02-19,DU,0
AZ,1,2021-02-19,R,0
AZ,1,2021-02-20,D1,3
AZ,1,2021-02-20,D2,0
AZ,1,2021-02-20,DU,0
AZ,1,2021-02-20,R,0
AZ,1,2021-02-22,D1,1
AZ,1,2021-02-22,D2,0
AZ,1,2021-02-22,DU,0
